"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PPP2R3C",87.2084615384616,231.804651162791,2.08178988876867,0.0435495417193943,0.153202763130404,-4.11475483030047
"GEFT",-23.4787435897436,23.6925581395349,-2.08177912969282,0.0435505753311098,0.153202763130404,-4.11476134212155
"LOC100190890",-352.312307692307,565.893023255814,-2.08160879212697,0.0435669423211313,0.153233044327697,-4.11486443414047
"C18orf25",54.8564102564102,132.148837209302,2.08145498955421,0.0435817251609426,0.153257743982097,-4.11495751387778
"C9orf69",18.6202307692308,35.8016279069767,2.08133418032202,0.0435933399015124,0.153271296014771,-4.11503062309507
"LETM1",26.0025641025641,53.1020930232558,2.08043992583874,0.0436793988484009,0.153546537532408,-4.11557170236049
"LOC441455",102.398717948718,240.825581395349,2.07973013050702,0.0437478120946126,0.15372228634421,-4.11600105948977
"LRRC42",263.958974358975,476.46511627907,2.07970115658104,0.0437506067218536,0.15372228634421,-4.11601858377251
"ZRANB3",9.11228205128205,13.7327906976744,2.07967898306477,0.0437527455334856,0.15372228634421,-4.11603199485486
"EXOC8",138.423076923077,508.651162790698,2.07957381326418,0.0437628912416332,0.153730583267701,-4.11609560278095
"NOP2",50.5535897435897,88.993023255814,2.07925759316739,0.0437934093283695,0.153810428743725,-4.11628684317009
"UBIAD1",68.0974358974359,113.389069767442,2.07911045927827,0.0438076154204052,0.153832965316071,-4.11637581854677
"STIM1",147.35641025641,248.783720930233,2.07894215719525,0.0438238702908552,0.15386268699984,-4.11647758956542
"MFSD6",120.364871794872,213.513953488372,2.07841687618768,0.0438746366704395,0.154013544188501,-4.11679518691165
"IRAK2",-6.91974358974359,18.6953488372093,-2.07815117762223,0.0439003349998783,0.154076366787382,-4.11695581369012
"DDX3X",255.066666666667,1261.95348837209,2.07788183145342,0.0439263995654319,0.154140452206417,-4.11711863129486
"ULK1",15.7994871794871,59.5767441860465,2.07762722910996,0.0439510498207103,0.154199552835176,-4.11727252312268
"ARFGEF1",871.882051282051,2150.67441860465,2.07751616154116,0.0439618070233979,0.154209898206942,-4.11733965276318
"COLEC11",139.990692307692,131.01023255814,2.07724265260763,0.04398830694398,0.154272525359351,-4.11750495210027
"DDX59",68.0651282051284,173.548837209302,2.07717066599357,0.0439952839548262,0.154272525359351,-4.11754845584775
"ACADS",-4.33587179487179,13.336511627907,-2.0766787472264,0.0440429871032835,0.154412382798286,-4.11784571007152
"IFI44",1433.93333333333,1873.41860465116,2.07647061993372,0.0440631835794711,0.154434336651199,-4.1179714617124
"ZCCHC14",66.0179487179487,156.024418604651,2.07645305221821,0.0440648887047195,0.154434336651199,-4.11798207582736
"ZNF337",-219.6,809.790697674419,-2.07598841989251,0.0441100069464218,0.154540383495061,-4.11826277649942
"RABEP2",-4.47146153846153,19.0188372093023,-2.0759009407939,0.0441185061454003,0.154540383495061,-4.11831562088584
"C8orf73",-6.18564102564104,34.6767441860465,-2.07589973997011,0.0441186228236952,0.154540383495061,-4.11831634626906
"LOC100128175",-14.2705641025641,19.663023255814,-2.07567375390065,0.0441405856128894,0.154589896305897,-4.11845285286682
"CHRNB2",-7.8220512820513,27.4581395348837,-2.07554339450702,0.0441532591313312,0.15460686428806,-4.11853159167219
"SLC16A14",22.2831282051282,28.4679069767442,2.07545264468067,0.044162083693127,0.154610351153264,-4.11858640377675
"GABRR3",-7.30320512820513,17.5462790697674,-2.07535998857769,0.0441710952137559,0.15461449120462,-4.11864236556525
"DNAJB5",46.5292307692308,85.193023255814,2.07511294318901,0.0441951301442123,0.154671207729585,-4.11879156597122
"ZNF187",-40.5369230769231,102.295348837209,-2.07500074861355,0.044206049278323,0.15468201048859,-4.11885932066842
"UPF2",340.874358974359,1227.51162790698,2.07426638922228,0.0442775777568901,0.15488816238335,-4.11930274101019
"EP400",24.4460512820513,59.64,2.07423486661672,0.0442806504033821,0.15488816238335,-4.11932177256345
"RANBP6",74.8215384615385,132.139534883721,2.07414446787405,0.0442894629990805,0.154891553881502,-4.11937634907666
"CYP4B1",-77.9505128205128,69.2097674418605,-2.07331123311834,0.044370763819869,0.155148409114482,-4.1198793220084
"PCYT1A",96.0464102564101,244.686046511628,2.07299790842701,0.04440136944707,0.155226091569838,-4.12006842121063
"C2CD2L",43.1638205128205,106.308139534884,2.07292288947008,0.0444087000541591,0.155226091569838,-4.1201136941049
"CHD2",-55.0583076923077,76.4795348837209,-2.07277871341526,0.0444227914378634,0.155247869068548,-4.12020069919491
"PIM2",156.692307692308,199.017906976744,2.0725566403565,0.0444445039159013,0.155296265590818,-4.12033470423597
